Scenario:,BY_2019,
Year:,2019,
,
,
All Areas,
,
VMT by Period (Raw Model Output),
,
Period,AM,MD,PM,EV,DY,
Freeway,        5887204,       12203580,        8887976,        8449383,       35428144,
Ramp,         194604,         382481,         265056,         292796,        1134936,
Arterial,        7024691,       14996599,       11884980,       10256577,       44162848,
Local,         850736,        1988241,        1428060,        1400511,        5667549,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,           2115,              0,           2115,
 4,12.5 - 17.5,           1698,              0,          74532,              0,          76230,
 5,17.5 - 22.5,           2119,           1919,         177363,              0,         181401,
 6,22.5 - 27.5,          37528,           6418,         172251,              0,         216197,
 7,27.5 - 32.5,          81662,              0,         431188,              0,         512850,
 8,32.5 - 37.5,         287850,          14475,         310880,           7354,         620559,
 9,37.5 - 42.5,         142345,           6039,         343520,              0,         491904,
10,42.5 - 47.5,         168627,         268047,         479591,              0,         916264,
11,47.5 - 52.5,         304799,         228860,         511450,              0,        1045110,
12,52.5 - 57.5,         417943,         674248,         530270,         276309,        1898771,
13,57.5 - 62.5,         377385,         497175,         594911,          22550,        1492021,
14,> 62.5,        4065246,       10506399,        5259905,        8143170,       27974720,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,           1936,              0,           4747,              0,           6683,
 3,7.5 - 12.5 ,           8865,           7085,          29660,              0,          45610,
 4,12.5 - 17.5,          27962,          38534,          44375,              0,         110872,
 5,17.5 - 22.5,          77423,         174463,         110665,          35174,         397724,
 6,22.5 - 27.5,          72721,         147932,          67871,         243569,         532093,
 7,27.5 - 32.5,           5697,          14466,           7739,          14053,          41955,
 8,32.5 - 37.5,              0,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,           5579,              0,          14802,              0,          20381,
 3,7.5 - 12.5 ,          25336,            990,          75837,              0,         102163,
 4,12.5 - 17.5,          63685,          27444,         318662,            876,         410666,
 5,17.5 - 22.5,         250860,         279508,        1077860,          70589,        1678817,
 6,22.5 - 27.5,         957646,        1287874,        2223790,         433344,        4902654,
 7,27.5 - 32.5,        1749568,        3485083,        2222670,        2595432,       10052753,
 8,32.5 - 37.5,        1276304,        2955123,        1570942,        1874674,        7677042,
 9,37.5 - 42.5,         564626,        1427102,         807217,        1422533,        4221478,
10,42.5 - 47.5,         626383,        1539483,        1028933,         959697,        4154496,
11,47.5 - 52.5,         324400,         744720,         367755,         589771,        2026645,
12,52.5 - 57.5,         428184,        1161893,         925412,         984658,        3500147,
13,57.5 - 62.5,         747038,        2071036,        1243405,        1314869,        5376349,
14,> 62.5,           5082,          16343,           7693,          10137,          39255,

,
,
UDOT Area (SubareaID=0),
,
Period,AM,MD,PM,EV,DY,
Freeway,         764347,        2107160,        1613610,        1251852,        5736970,
Ramp,          11468,          27558,          19675,          18561,          77262,
Arterial,        1171295,        3189890,        2338583,        2001024,        8700793,
Local,         133199,         355185,         252170,         239802,         980357,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,              0,
 4,12.5 - 17.5,              0,              0,              0,              0,              0,
 5,17.5 - 22.5,              0,              0,              0,              0,              0,
 6,22.5 - 27.5,              0,              0,              0,              0,              0,
 7,27.5 - 32.5,              0,              0,              0,              0,              0,
 8,32.5 - 37.5,              0,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,           1896,              0,              0,           1896,
10,42.5 - 47.5,            782,           1888,              0,              0,           2670,
11,47.5 - 52.5,              0,              0,           1246,              0,           1246,
12,52.5 - 57.5,            750,              0,          15987,           2549,          19286,
13,57.5 - 62.5,             70,            178,           3301,            518,           4066,
14,> 62.5,         762745,        2103198,        1593077,        1248786,        5707806,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,           3467,              0,           5908,              0,           9375,
 4,12.5 - 17.5,              0,           9183,              0,              0,           9183,
 5,17.5 - 22.5,            832,           2451,           2966,           3768,          10017,
 6,22.5 - 27.5,           7169,          15924,          10800,          14793,          48686,
 7,27.5 - 32.5,              0,              0,              0,              0,              0,
 8,32.5 - 37.5,              0,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,            851,              0,            851,
 4,12.5 - 17.5,            518,           1334,           5668,            876,           8396,
 5,17.5 - 22.5,           1168,           3364,           4747,           1938,          11218,
 6,22.5 - 27.5,           7132,          22675,          23067,          11901,          64776,
 7,27.5 - 32.5,          37314,          82363,          72156,          55578,         247411,
 8,32.5 - 37.5,          58099,         175708,         126774,          91967,         452549,
 9,37.5 - 42.5,         100581,         235998,         189355,         177932,         703866,
10,42.5 - 47.5,         206671,         530300,         409178,         318428,        1464576,
11,47.5 - 52.5,          77230,         231119,         141384,         144868,         594601,
12,52.5 - 57.5,         134630,         402779,         425561,         248233,        1211204,
13,57.5 - 62.5,         543694,        1493225,         932150,         942552,        3911621,
14,> 62.5,           4257,          11024,           7693,           6751,          29724,

