Scenario:,STIP_2028,
Year:,2028,
,
,
All Areas,
,
VMT by Period (Raw Model Output),
,
Period,AM,MD,PM,EV,DY,
Freeway,        7148187,       14938600,       10539912,       10257576,       42884275,
Ramp,         238338,         475547,         326474,         363753,        1404111,
Arterial,        8112629,       17545610,       14016707,       11953720,       51628666,
Local,        1008388,        2372424,        1704198,        1663753,        6748762,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,           2053,              0,           2453,              0,           4506,
 3,7.5 - 12.5 ,           2355,           8062,           2303,              0,          12721,
 4,12.5 - 17.5,           3039,           1747,         115436,              0,         120221,
 5,17.5 - 22.5,           3978,              0,         298108,              0,         302086,
 6,22.5 - 27.5,          39998,           4993,         379855,              0,         424846,
 7,27.5 - 32.5,         174028,           3698,         473782,              0,         651508,
 8,32.5 - 37.5,         176589,          14633,         344941,           9706,         545869,
 9,37.5 - 42.5,         164255,         104985,         398291,              0,         667531,
10,42.5 - 47.5,         389090,         271305,         570543,              0,        1230938,
11,47.5 - 52.5,         358322,         247678,         514253,              0,        1120253,
12,52.5 - 57.5,         436502,         687609,         673861,         422744,        2220716,
13,57.5 - 62.5,         514830,         658533,         693282,          71150,        1937795,
14,> 62.5,        4883148,       12935358,        6072805,        9753976,       33645286,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,           4034,              0,           8781,              0,          12815,
 3,7.5 - 12.5 ,          13665,          12799,          34410,              0,          60874,
 4,12.5 - 17.5,          39859,          71043,          68350,              0,         179252,
 5,17.5 - 22.5,          92278,         197433,         130219,          55842,         475772,
 6,22.5 - 27.5,          80681,         175307,          72718,         287002,         615708,
 7,27.5 - 32.5,           7821,          18965,          11996,          20909,          59691,
 8,32.5 - 37.5,              0,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              1,
 2,2.5 - 7.5  ,          10687,            204,          33378,              0,          44268,
 3,7.5 - 12.5 ,          31871,           5748,         126618,              0,         164237,
 4,12.5 - 17.5,          97044,          62434,         597930,           2745,         760152,
 5,17.5 - 22.5,         391677,         517678,        1561434,         124532,        2595321,
 6,22.5 - 27.5,        1205172,        1770584,        2681369,         555259,        6212383,
 7,27.5 - 32.5,        1955667,        4021372,        2499594,        3095461,       11572093,
 8,32.5 - 37.5,        1455152,        3464191,        1767285,        2158768,        8845396,
 9,37.5 - 42.5,         722999,        1675100,         940007,        1646407,        4984514,
10,42.5 - 47.5,         698206,        1961820,        1114242,        1046494,        4820762,
11,47.5 - 52.5,         339050,         772941,         420957,         719715,        2252663,
12,52.5 - 57.5,         439596,        1281948,        1029184,        1237831,        3988559,
13,57.5 - 62.5,         760931,        1999606,        1237184,        1355143,        5352864,
14,> 62.5,           4578,          11984,           7526,          11365,          35452,

,
,
UDOT Area (SubareaID=0),
,
Period,AM,MD,PM,EV,DY,
Freeway,         913849,        2501218,        1887494,        1487803,        6790364,
Ramp,          14095,          34191,          24648,          23065,          96000,
Arterial,        1292123,        3529274,        2645095,        2204921,        9671413,
Local,         148435,         396857,         281922,         267759,        1094972,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,              0,
 4,12.5 - 17.5,              0,              0,            570,              0,            570,
 5,17.5 - 22.5,              0,              0,           1312,              0,           1312,
 6,22.5 - 27.5,              0,              0,              0,              0,              0,
 7,27.5 - 32.5,           2002,              0,              0,              0,           2002,
 8,32.5 - 37.5,              0,              0,           1578,              0,           1578,
 9,37.5 - 42.5,              0,           1967,            689,              0,           2656,
10,42.5 - 47.5,            809,           1948,              0,              0,           2757,
11,47.5 - 52.5,            727,              0,              0,              0,            727,
12,52.5 - 57.5,            188,              0,           2535,           3140,           5863,
13,57.5 - 62.5,           1068,            292,           9528,            682,          11571,
14,> 62.5,         909053,        2497012,        1871281,        1483980,        6761327,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,           3624,              0,           6261,              0,           9884,
 4,12.5 - 17.5,              0,           9464,           2907,              0,          12371,
 5,17.5 - 22.5,           2024,           5466,           4148,           3816,          15454,
 6,22.5 - 27.5,           8447,          19261,          11332,          19249,          58289,
 7,27.5 - 32.5,              0,              0,              0,              0,              0,
 8,32.5 - 37.5,              0,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              1,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,           1030,              0,           1030,
 4,12.5 - 17.5,            607,           4676,           7799,           1116,          14197,
